date,daily_pnl,trades,volume_usd,avg_fee,win_day,cum_pnl,peak,drawdown,classification
2024-05-02,-33.45419400000003,72,770198.26,2.299298125,False,325005.79418300005,325039.24837700004,-33.45419399999082,fear
2024-05-03,19791.026041,180,841810.32,-0.024658105555555556,True,344796.820224,344796.820224,0.0,neutral
2024-05-04,10706.484306,100,503791.8,1.03430138,True,355503.30453,355503.30453,0.0,greed
2024-05-05,0.916,6,24068.350000000002,1.4021296666666665,True,355504.22053000005,355504.22053000005,0.0,greed
2024-05-06,56.055506,54,25350.77,0.13155666666666668,True,355560.27603600005,355560.27603600005,0.0,greed
2024-05-07,0.0,32,272289.89,2.97283490625,False,355560.27603600005,355560.27603600005,0.0,greed
2024-05-08,-13013.665169,80,420495.4,2.533989475,False,342546.61086700007,355560.27603600005,-13013.665168999985,greed
2024-05-09,0.0,1,0.84,0.0,False,342546.61086700007,355560.27603600005,-13013.665168999985,greed
2024-05-10,5767.161892,37,605605.74,5.728696513513514,True,348313.7727590001,355560.27603600005,-7246.503276999982,greed
2024-05-11,678.4759280000001,10,200627.23,7.021952400000001,True,348992.2486870001,355560.27603600005,-6568.027348999982,neutral
2024-05-12,71574.11848800001,456,1256750.79,0.7736090421710526,True,420566.3671750001,420566.3671750001,0.0,greed
2024-06-01,135.58166400000002,22,298521.4,3.3922882727272725,True,420701.9488390001,420701.9488390001,0.0,greed
2024-06-02,-215.615907,1088,8047153.41,0.9086461369485294,False,420486.33293200005,420701.9488390001,-215.61590700002853,greed
2024-06-03,6814.825139,82,327218.02,-0.04091851219512195,True,427301.15807100007,427301.15807100007,0.0,greed
2024-06-04,236.33513399999998,16,68223.67,1.4923923125,True,427537.49320500006,427537.49320500006,0.0,greed
2024-06-05,968.59038,9,206016.43,8.011749555555555,True,428506.0835850001,428506.0835850001,0.0,extreme greed
2024-06-06,274.173187,234,137557.76,0.15845907692307692,True,428780.25677200005,428780.25677200005,0.0,extreme greed
2024-06-07,108.87217799999999,24,2490.17,14.34809,True,428889.12895000004,428889.12895000004,0.0,extreme greed
2024-06-08,267.318048,107,61478.38,0.5852455981308411,True,429156.446998,429156.446998,0.0,greed
2024-06-09,-1104.856765,42,39047.1,0.3253922857142857,False,428051.59023300005,429156.446998,-1104.856764999975,extreme greed
2024-06-10,130.487079,22,300130.56,4.774804227272727,True,428182.07731200004,429156.446998,-974.3696859999909,greed
2024-06-11,2817.83723,15,123906.9,2.8911606666666665,True,430999.91454200004,430999.91454200004,0.0,greed
2024-06-12,-92624.643895,403,3471019.22,1.7171061684119107,False,338375.27064700006,430999.91454200004,-92624.64389499999,greed
2024-07-01,-835.681235,97,1048850.06,2.7032212783505156,False,337539.58941200003,430999.91454200004,-93460.32513000001,neutral
2024-07-02,241.24212,15,6758.73,0.022646200000000002,True,337780.83153200004,430999.91454200004,-93219.08301,neutral
2024-07-04,0.0,23,49988.14,0.7606889130434782,False,337780.83153200004,430999.91454200004,-93219.08301,fear
2024-07-05,883.537693,18,108717.58,2.1132811666666664,True,338664.36922500003,430999.91454200004,-92335.54531700001,fear
2024-07-06,8902.467416,440,1098588.76,0.8476424181818182,True,347566.836641,430999.91454200004,-83433.07790100004,fear
2024-07-07,61.428942,10,498.75,0.004987500000000001,True,347628.26558300003,430999.91454200004,-83371.64895900001,fear
2024-07-08,188.789255,33,2492.77,0.11370314545454546,True,347817.05483800004,430999.91454200004,-83182.859704,fear
2024-07-10,0.0,21,219984.65,3.6664102857142855,False,347817.05483800004,430999.91454200004,-83182.859704,fear
2024-07-11,4493.353136,113,111335.3,0.23166763168141594,True,352310.40797400003,430999.91454200004,-78689.50656800001,fear
2024-07-12,85906.279067,304,451733.42,0.3567501246710526,True,438216.687041,438216.687041,0.0,fear
2024-08-01,-269.874439,128,1522452.43,2.9735395625,False,437946.812602,438216.687041,-269.87443899997743,neutral
2024-08-02,770.756024,10,26051.12,0.3002887,True,438717.568626,438717.568626,0.0,greed
